Date,Open,High,Low,Close,Adj Close,Volume
02.01.2017,13.9,13.9,13.9,13.9,10.509031,0
03.01.2017,13.94,13.94,13.74,13.8,10.433428,6378400
04.01.2017,13.76,13.88,13.76,13.84,10.46367,8005300
05.01.2017,13.8,13.9,13.76,13.84,10.46367,8225900
06.01.2017,13.82,14,13.82,13.94,10.539271,9910700
09.01.2017,14,14.06,13.92,13.92,10.524151,5058700
10.01.2017,13.88,13.9,13.72,13.8,10.433428,19171600
11.01.2017,13.84,14,13.82,14,10.584637,11820100
12.01.2017,13.98,14.06,13.96,14,10.584637,10454700
13.01.2017,14,14,13.92,13.94,10.539271,11908900
16.01.2017,13.9,14.04,13.9,13.92,10.524151,8648400
17.01.2017,13.9,13.94,13.86,13.9,10.509031,6241600
18.01.2017,13.92,13.94,13.88,13.9,10.509031,7887600
19.01.2017,13.9,13.9,13.84,13.88,10.493909,10566100
20.01.2017,13.88,13.9,13.84,13.86,10.478788,7953700
23.01.2017,13.88,13.92,13.82,13.9,10.509031,14346500
24.01.2017,13.9,13.92,13.86,13.88,10.493909,10561200
25.01.2017,13.9,13.92,13.76,13.8,10.433428,19074200
26.01.2017,13.84,13.84,13.66,13.68,10.342701,11928300
27.01.2017,13.7,13.74,13.6,13.6,10.282218,6413000
31.01.2017,13.62,13.62,13.34,13.4,10.131007,11382800
02.02.2017,13.14,13.42,13,13.38,10.115888,17417500
03.02.2017,13.36,13.46,13.36,13.44,10.161249,9122700
06.02.2017,13.44,13.56,13.42,13.44,10.161249,6723100
07.02.2017,13.4,13.44,13.3,13.38,10.115888,16302100
08.02.2017,13.32,13.52,13.32,13.46,10.176371,14621900
10.02.2017,13.66,13.66,13.4,13.5,10.206613,14506000
13.02.2017,13.52,13.66,13.48,13.66,10.32758,7475200
14.02.2017,13.62,13.68,13.5,13.52,10.221734,16205900
15.02.2017,13.52,13.58,13.48,13.56,10.251975,12790700
16.02.2017,13.52,13.54,13.5,13.5,10.206613,8342500
17.02.2017,13.52,13.54,13.46,13.48,10.191491,10919800
20.02.2017,13.48,13.54,13.48,13.54,10.236853,12067200
21.02.2017,13.54,13.58,13.52,13.58,10.267097,6194800
22.02.2017,13.58,13.58,13.5,13.52,10.221734,9064600
23.02.2017,13.56,13.56,13.5,13.5,10.206613,12439200
24.02.2017,13.5,13.6,13.44,13.5,10.206613,3405500
27.02.2017,13.5,13.56,13.48,13.54,10.236853,5261800
28.02.2017,13.52,13.6,13.5,13.54,10.236853,11202200
01.03.2017,13.52,13.54,13.52,13.54,10.236853,7941400
02.03.2017,13.54,13.64,13.52,13.58,10.267097,8809400
03.03.2017,13.54,13.68,13.54,13.62,10.297339,8284700
06.03.2017,13.56,13.72,13.48,13.68,10.342701,10891600
07.03.2017,13.7,13.8,13.66,13.7,10.357821,7611300
08.03.2017,13.62,13.84,13.6,13.7,10.357821,6622000
09.03.2017,13.66,13.8,13.66,13.74,10.388064,5076800
10.03.2017,13.68,13.78,13.68,13.72,10.372943,9962300
13.03.2017,13.7,13.84,13.7,13.78,10.418305,9979900
14.03.2017,13.74,13.78,13.72,13.74,10.388064,14396200
15.03.2017,13.52,13.74,13.44,13.68,10.342701,5680000
16.03.2017,13.74,13.8,13.68,13.72,10.372943,6740700
17.03.2017,13.76,13.78,13.66,13.72,10.372943,13168600
20.03.2017,13.7,13.74,13.6,13.72,10.372943,6451200
21.03.2017,13.76,13.78,13.54,13.78,10.418305,7245200
22.03.2017,13.72,13.72,13.56,13.72,10.372943,8408600
23.03.2017,13.64,13.74,13.64,13.72,10.372943,9392600
24.03.2017,13.76,13.76,13.66,13.72,10.372943,12109500
27.03.2017,13.66,13.72,13.64,13.7,10.357821,6802600
28.03.2017,13.76,13.78,13.6,13.74,10.388064,5990100
29.03.2017,13.74,13.78,13.7,13.74,10.388064,4986900
30.03.2017,13.76,13.76,13.64,13.74,10.388064,7867900
31.03.2017,13.8,13.82,13.72,13.72,10.372943,8823600
03.04.2017,13.76,13.78,13.72,13.76,10.403187,6037000
04.04.2017,13.74,13.8,13.72,13.74,10.388064,7331800
05.04.2017,13.72,13.76,13.7,13.76,10.403187,8991700
06.04.2017,13.7,13.78,13.7,13.76,10.403187,8291600
07.04.2017,13.68,13.74,13.62,13.68,10.342701,11062100
10.04.2017,13.68,13.74,13.66,13.7,10.357821,8726400
11.04.2017,13.7,13.72,13.68,13.72,10.372943,13102500
12.04.2017,13.68,13.72,13.68,13.72,10.372943,10850300
13.04.2017,13.74,13.78,13.7,13.74,10.388064,8051700
14.04.2017,13.68,13.72,13.68,13.7,10.357821,6825700
17.04.2017,13.74,13.78,13.68,13.7,10.357821,2337800
18.04.2017,13.74,13.78,13.7,13.72,10.372943,10243700
19.04.2017,13.62,13.72,13.62,13.72,10.372943,11497100
20.04.2017,13.74,13.8,13.7,13.8,10.433428,6453000
21.04.2017,13.68,13.78,13.68,13.74,10.388064,8278000
24.04.2017,13.74,13.74,13.74,13.74,10.388064,0
25.04.2017,13.88,13.9,13.74,13.8,10.433428,9697800
26.04.2017,13.8,13.94,13.8,13.84,10.46367,9355200
27.04.2017,13.88,13.9,13.86,13.86,10.478788,7221800
28.04.2017,13.9,14.06,13.86,13.94,10.539271,10003500
02.05.2017,13.92,13.96,13.86,13.92,10.524151,7737000
03.05.2017,13.9,13.96,13.86,13.94,10.539271,11000100
04.05.2017,13.88,13.94,13.86,13.9,10.509031,8745100
05.05.2017,13.9,13.94,13.88,13.9,10.509031,6891200
08.05.2017,13.96,13.96,13.88,13.92,10.524151,2601700
09.05.2017,13.92,13.92,13.88,13.9,10.509031,3884500
11.05.2017,13.98,13.98,13.86,13.92,10.524151,9622100
